Описание	№ ООН	Класс	Код	№ опасности	Группа упаковки	Трансп. категория
НИТРОКРАХМАЛ УВЛАЖНЕННЫЙ с массовой долей воды не менее 20%	1337	4.1	D		I	1
ФОСФОР АМОРФНЫЙ	1338	4.1	F3	40	III	3
ФОСФОРА ГЕПТАСУЛЬФИД, не содержащий желтого или белого фосфора	1339	4.1	F3	40	II	2
ФОСФОРА ПЕНТАСУЛЬФИД, не содержащий желтого или белого фосфора	1340	4.1	WF2	423	II	0
ФОСФОРА СЕСКВИСУЛЬФИД, не содержащий желтого или белого фосфора	1341	4.1	F3	40	II	2
ФОСФОРА ТРИСУЛЬФИД, не содержащий желтого или белого фосфора	1343	4.1	F3	40	II	2
ТРИНИТРОФЕНОЛ (КИСЛОТА ПИКРИНОВАЯ) УВЛАЖНЕННЫЙ с массовой долей воды не менее 30%	1344	4.1	D		I	1
КАУЧУК В ОТХОДАХ - порошок или гранулы	1345	4.1	F1	40	II	4
КАУЧУК РЕГЕНЕРИРОВАННЫЙ - порошок или гранулы	1345	4.1	F1	40	II	4
КРЕМНИЕВЫЙ ПОРОШОК АМОРФНЫЙ	1346	4.1	F3	40	III	3
СЕРЕБРА ПИКРАТ УВЛАЖНЕННЫЙ с массовой долей воды не менее 30%	1347	4.1	D		I	1
НАТРИЯ ДИНИТРО-о-КРЕЗОЛЯТ УВЛАЖНЕННЫЙ с массовой долей воды не менее 15%	1348	4.1	DT		I	1
НАТРИЯ ПИКРАМАТ УВЛАЖНЕННЫЙ с массовой долей воды не менее 20%	1349	4.1	D		I	1
СЕРА	1350	4.1	F3	40	III	3
ТИТАН — ПОРОШОК УВЛАЖНЕННЫЙ с долей воды не менее 25%	1352	4.1	F3	40	II	2
ВОЛОКНА, ПРОПИТАННЫЕ НИТРОЦЕЛЛЮЛОЗОЙ С НИЗКИМ СОДЕРЖАНИЕМ НИТРАТОВ, Н.У.К.	1353	4.1	F1		III	3
ТКАНИ, ПРОПИТАННЫЕ НИТРОЦЕЛЛЮЛОЗОЙ С НИЗКИМ СОДЕРЖАНИЕМ НИТРАТОВ, Н.У.К.	1353	4.1	F1		III	3
ТРИНИТРОБЕНЗОЛ УВЛАЖНЕННЫЙ с массовой долей воды не менее 30%	1354	4.1	D		I	1
КИСЛОТА ТРИНИТРОБЕНЗОЙНАЯ УВЛАЖНЕННАЯ с массовой долей воды не менее 30%	1355	4.1	D		I	1
ТРИНИТРОТОЛУОЛ (ТНТ) УВЛАЖНЕННЫЙ с массовой долей воды не менее 30%	1356	4.1	D		I	1
КАРБАМИДА НИТРАТ УВЛАЖНЕННЫЙ с массовой долей воды не менее 20%	1357	4.1	D		I	1
ЦИРКОНИЕВЫЙ ПОРОШОК УВЛАЖНЕННЫЙ с долей воды не менее 25%	1358	4.1	F3	40	II	2
КАЛЬЦИЯ ФОСФИД	1360	4.3	WT2		I	1
УГОЛЬ животного или растительного происхождения	1361	4.2	S2	40	II	2
УГОЛЬ животного или растительного происхождения	1361	4.2	S2	40	III	4
УГОЛЬ АКТИВИРОВАННЫЙ	1362	4.2	S2	40	III	4
КОПРА	1363	4.2	S2	40	III	3
ХЛОПКА ОТХОДЫ, ПРОПИТАННЫЕ МАСЛОМ	1364	4.2	S2	40	III	3
ХЛОПОК ВЛАЖНЫЙ	1365	4.2	S2	40	III	3
п-НИТРОЗОДИМЕТИЛАНИЛИН	1369	4.2	S2	40	II	2
Волокна животного происхождения или волокна растительного происхождения сожженные, влажные или сырые	1372	4.2	S2			
ВОЛОКНА ЖИВОТНОГО ПРОИСХОЖДЕНИЯ, Н.У.К., пропитанные маслом	1373	4.2	S2	40	III	3
ВОЛОКНА РАСТИТЕЛЬНОГО ПРОИСХОЖДЕНИЯ, Н.У.К., пропитанные маслом	1373	4.2	S2	40	III	3
ВОЛОКНА СИНТЕТИЧЕСКОГО ПРОИСХОЖДЕНИЯ, Н.У.К., пропитанные маслом	1373	4.2	S2	40	III	3
ТКАНИ ЖИВОТНОГО ПРОИСХОЖДЕНИЯ, Н.У.К., пропитанные маслом	1373	4.2	S2	40	III	3
ТКАНИ РАСТИТЕЛЬНОГО ПРОИСХОЖДЕНИЯ, Н.У.К., пропитанные маслом	1373	4.2	S2	40	III	3
ТКАНИ СИНТЕТИЧЕСКОГО ПРОИСХОЖДЕНИЯ, Н.У.К., пропитанные маслом	1373	4.2	S2	40	III	3
МУКА РЫБНАЯ (РЫБНЫЕ ОТХОДЫ) НЕСТАБИЛИЗИРОВАНАЯ	1374	4.2	S2	40	II	2
ЖЕЛЕЗА ОКСИД ОТРАБОТАННЫЙ — ОТХОДЫ, полученные при очистке каменноугольного газа	1376	4.2	S4	40	III	3
ЖЕЛЕЗО ГУБЧАТОЕ — ОТХОДЫ, полученные при очистке каменноугольного газа	1376	4.2	S4	40	III	3
КАТАЛИЗАТОР МЕТАЛЛИЧЕСКИЙ УВЛАЖНЕННЫЙ с видимым избытком жидкости	1378	4.2	S4	40	II	2
БУМАГА, ОБРАБОТАННАЯ НЕНАСЫЩЕННЫМИ МАСЛАМИ, не полностью высушенная (включая бумагу копировальную)	1379	4.2	S2	40	III	3
ПЕНТАБОРАН	1380	4.2	ST3	333	I	0
ФОСФОР БЕЛЫЙ ПОД ВОДОЙ	1381	4.2	ST3	46	I	0
ФОСФОР БЕЛЫЙ В РАСТВОРЕ	1381	4.2	ST3	46	I	0
ФОСФОР ЖЕЛТЫЙ ПОД ВОДОЙ	1381	4.2	ST3	46	I	0
ФОСФОР ЖЕЛТЫЙ В РАСТВОРЕ	1381	4.2	ST3	46	I	0
ФОСФОР БЕЛЫЙ СУХОЙ	1381	4.2	ST4	46	I	0
ФОСФОР ЖЕЛТЫЙ СУХОЙ	1381	4.2	ST4	46	I	0
КАЛИЯ СУЛЬФИД БЕЗВОДНЫЙ	1382	4.2	S4	40	II	2
КАЛИЯ СУЛЬФИД с долей кристаллизационной воды менее 30%	1382	4.2	S4	40	II	2
МЕТАЛЛ ПИРОФОРНЫЙ, Н.У.К.	1383	4.2	S4	43	I	0
СПЛАВ ПИРОФОРНЫЙ, Н.У.К.	1383	4.2	S4	43	I	0
НАТРИЯ ДИТИОНИТ (НАТРИЯ ГИДРОСУЛЬФИТ)	1384	4.2	S4	40	II	2
НАТРИЯ СУЛЬФИД БЕЗВОДНЫЙ	1385	4.2	S4	40	II	2
НАТРИЯ СУЛЬФИД с долей кристаллизационной воды менее 30%	1385	4.2	S4	40	II	2
ЖМЫХ с массовой долей масла более 1,5% и влаги не более 11%	1386	4.2	S2	40	III	3
Шерсти отходы влажные	1387	4.3	S2			
АМАЛЬГАМА ЩЕЛОЧНЫХ МЕТАЛЛОВ ЖИДКАЯ	1389	4.3	W1	X323	I	1
АМИДЫ ЩЕЛОЧНЫХ МЕТАЛЛОВ	1390	4.3	W2	423	II	0
МЕТАЛЛ ЩЕЛОЧНОЙ ДИСПЕРГИРОВАННЫЙ	1391	4.3	W1	X323	I	1
МЕТАЛЛ ЩЕЛОЧНОЗЕМЕЛЬНЫЙ ДИСПЕРГИРОВАННЫЙ	1391	4.3	W1	X323	I	1
АМАЛЬГАМА ЩЕЛОЧНОЗЕМЕЛЬНЫХ МЕТАЛЛОВ ЖИДКАЯ	1392	4.3	W1	X323	I	1
ЩЕЛОЧНОЗЕМЕЛЬНЫХ МЕТАЛЛОВ СПЛАВ, Н.У.К.	1393	4.3	W2	423	II	2
АЛЮМИНИЯ КАРБИД	1394	4.3	W2	423	II	2
АЛЮМИНИЯ И ФЕРРОСИЛИЦИЯ ПОРОШОК	1395	4.3	WT2	462	II	2
АЛЮМИНИЯ ПОРОШОК НЕПОКРЫТЫЙ	1396	4.3	W2	423	II	2
АЛЮМИНИЯ ПОРОШОК НЕПОКРЫТЫЙ	1396	4.3	W2	423	III	3
АЛЮМИНИЯ ФОСФИД	1397	4.3	WT2		I	1
АЛЮМИНИЕВО-КРЕМНИСТЫЙ - ПОРОШОК НЕПОКРЫТЫЙ	1398	4.3	W2	423	III	3
БАРИЙ	1400	4.3	W2	423	II	2
КАЛЬЦИЙ	1401	4.3	W2	423	II	2
КАЛЬЦИЯ КАРБИД	1402	4.3	W2	X423	I	1
КАЛЬЦИЯ КАРБИД	1402	4.3	W2	423	II	2
КАЛЬЦИЯ ЦИАНАМИД с массовой долей карбида кальция более 0,1%	1403	4.3	W2	423	III	0
КАЛЬЦИЯ ГИДРИД	1404	4.3	W2		I	1
КАЛЬЦИЯ СИЛИЦИД	1405	4.3	W2	423	II	2
КАЛЬЦИЯ СИЛИЦИД	1405	4.3	W2	423	III	3
ЦЕЗИЙ	1407	4.3	W2	X423	I	1
ФЕРРОСИЛИЦИЙ с массовой долей кремния не менее 30%, но менее 90%	1408	4.3	WT2	462	III	3
ГИДРИДЫ МЕТАЛЛОВ, РЕАГИРУЮЩИЕ С ВОДОЙ, Н.У.К.	1409	4.3	W2		I	1
ГИДРИДЫ МЕТАЛЛОВ, РЕАГИРУЮЩИЕ С ВОДОЙ, Н.У.К.	1409	4.3	W2	423	II	2
ЛИТИЯ АЛЮМОГИДРИД	1410	4.3	W2		I	1
ЛИТИЯ АЛЮМОГИДРИД В ЭФИРЕ	1411	4.3	WF1		I	1
ЛИТИЯ БОРГИДРИД	1413	4.3	W2		I	1
ЛИТИЯ ГИДРИД	1414	4.3	W2		I	1
ЛИТИЙ	1415	4.3	W2	X423	I	1
ЛИТИЙ КРЕМНИСТЫЙ	1417	4.3	W2	423	II	2
МАГНИЙ — ПОРОШОК	1418	4.3	WS		I	1
МАГНИЯ СПЛАВЫ — ПОРОШОК	1418	4.3	WS		I	1
МАГНИЙ — ПОРОШОК	1418	4.3	WS	423	II	2
МАГНИЯ СПЛАВЫ — ПОРОШОК	1418	4.3	WS	423	II	2
МАГНИЙ — ПОРОШОК	1418	4.3	WS	423	III	3
МАГНИЯ СПЛАВЫ — ПОРОШОК	1418	4.3	WS	423	III	3
МАГНИЯ-АЛЮМИНИЯ ФОСФИД	1419	4.3	WT2		I	1
КАЛИЯ МЕТАЛЛИЧЕСКИЕ СПЛАВЫ ЖИДКИЕ	1420	4.3	W1	X323	I	1
ЩЕЛОЧНЫХ МЕТАЛЛОВ СПЛАВ ЖИДКИЙ, Н.У.К.	1421	4.3	W1	X323	I	1
КАЛИЯ-НАТРИЯ СПЛАВЫ ЖИДКИЕ	1422	4.3	W1	X323	I	1
РУБИДИЙ	1423	4.3	W2	X423	I	1
НАТРИЯ БОРГИДРИД	1426	4.3	W2		I	1
НАТРИЯ ГИДРИД	1427	4.2	W2		I	1
НАТРИЙ	1428	4.3	W2	X423	I	1
НАТРИЯ МЕТИЛАТ	1431	4.3	SC4	48	II	2
НАТРИЯ ФОСФИД	1432	4.3	WT2		I	1
ОЛОВА ФОСФИДЫ	1433	4.3	WT2		I	1
ШЛАК ЦИНКОВЫЙ	1435	4.3	W2	423	III	3
ЦИНКОВЫЙ ПОРОШОК	1436	4.3	WS		I	1
ЦИНКОВЫЙ ПОРОШОК	1436	4.3	WS	423	II	2
ЦИНКОВЫЙ ПОРОШОК	1436	4.3	WS	423	III	3
ЦИНКОВАЯ ПЫЛЬ	1436	4.3	WS		I	1
ЦИНКОВАЯ ПЫЛЬ	1436	4.3	WS	423	II	2
ЦИНКОВАЯ ПЫЛЬ	1436	4.3	WS	423	III	3
ЦИРКОНИЯ ГИДРИД	1437	4.1	F3	40	II	2
АЛЮМИНИЯ НИТРАТ	1438	5.1	O2	50	III	3
АММОНИЯ ДИХРОМАТ	1439	5.1	O2	50	II	2
АММОНИЯ ПЕРХЛОРАТ	1442	5.1	O2	50	II	2
АММОНИЯ ПЕРСУЛЬФАТ	1444	5.1	O2	50	III	3
БАРИЯ ХЛОРАТ ТВЕРДЫЙ	1445	5.1	OT2	56	II	2
БАРИЯ НИТРАТ	1446	5.1	OT2	56	II	2
БАРИЯ ПЕРХЛОРАТ ТВЕРДЫЙ	1447	5.1	OT2	56	II	2
БАРИЯ ПЕРМАНГАНАТ	1448	5.1	OT2	56	II	2
БАРИЯ ПЕРОКСИД	1449	5.1	OT2	56	II	2
БРОМАТЫ НЕОРГАНИЧЕСКИЕ, Н.У.К.	1450	5.1	O2	50	II	2
ЦЕЗИЯ НИТРАТ	1451	5.1	O2	50	III	3
КАЛЬЦИЯ ХЛОРАТ	1452	5.1	O2	50	II	2
КАЛЬЦИЯ ХЛОРИТ	1453	5.1	O2	50	II	2
КАЛЬЦИЯ НИТРАТ	1454	5.1	O2	50	III	3
КАЛЬЦИЯ ПЕРХЛОРАТ	1455	5.1	O2	50	II	2
КАЛЬЦИЯ ПЕРМАНГАНАТ	1456	5.1	O2	50	II	2
КАЛЬЦИЯ ПЕРОКСИД	1457	5.1	O2	50	II	2
ХЛОРАТА И БОРАТА СМЕСЬ	1458	5.1	O2	50	II	2
ХЛОРАТА И БОРАТА СМЕСЬ	1458	5.1	O2	50	III	3
ХЛОРАТА И МАГНИЯ ХЛОРИДА СМЕСЬ ТВЕРДАЯ	1459	5.1	O2	50	II	2
ХЛОРАТА И МАГНИЯ ХЛОРИДА СМЕСЬ ТВЕРДАЯ	1459	5.1	O2	50	III	3
ХЛОРАТЫ НЕОРГАНИЧЕСКИЕ, Н.У.К.	1461	5.1	O2	50	II	2
ХЛОРИТЫ НЕОРГАНИЧЕСКИЕ, Н.У.К.	1462	5.1	O2	50	II	2
ХРОМА ТРИОКСИД БЕЗВОДНЫЙ	1463	5.1	OTC	568	II	2
ДИДИМА НИТРАТ	1465	5.1	O2	50	III	3
ЖЕЛЕЗА НИТРАТ	1466	5.1	O2	50	III	3
ГУАНИДИНА НИТРАТ	1467	5.1	O2	50	III	3
СВИНЦА НИТРАТ	1469	5.1	OT2	56	II	2
СВИНЦА ПЕРХЛОРАТ ТВЕРДЫЙ	1470	5.1	OT2	56	II	2
ЛИТИЯ ГИПОХЛОРИТА СМЕСЬ	1471	5.1	O2	50	III	3
ЛИТИЯ ГИПОХЛОРИТ СУХОЙ	1471	5.1	O2	50	II	2
ЛИТИЯ ГИПОХЛОРИТА СМЕСЬ	1471	5.1	O2	50	II	2
ЛИТИЯ ГИПОХЛОРИТ СУХОЙ	1471	5.1	O2	50	III	3
ЛИТИЯ ПЕРОКСИД	1472	5.1	O2	50	II	2
МАГНИЯ БРОМАТ	1473	5.1	O2	50	II	2
МАГНИЯ НИТРАТ	1474	5.1	O2	50	III	3
МАГНИЯ ПЕРХЛОРАТ	1475	5.1	O2	50	II	2
МАГНИЯ ПЕРОКСИД	1476	5.1	O2	50	II	2
НИТРАТЫ НЕОРГАНИЧЕСКИЕ, Н.У.К.	1477	5.1	O2	50	II	2
НИТРАТЫ НЕОРГАНИЧЕСКИЕ, Н.У.К.	1477	5.1	O2	50	III	3
ОКИСЛЯЮЩЕЕ ВЕЩЕСТВО ТВЕРДОЕ, Н.У.К.	1479	5.1	O2		I	1
ОКИСЛЯЮЩЕЕ ВЕЩЕСТВО ТВЕРДОЕ, Н.У.К.	1479	5.1	O2	50	II	2
ОКИСЛЯЮЩЕЕ ВЕЩЕСТВО ТВЕРДОЕ, Н.У.К.	1479	5.1	O2	50	III	3
ПЕРХЛОРАТЫ НЕОРГАНИЧЕСКИЕ, Н.У.К.	1481	5.1	O2	50	II	2
ПЕРХЛОРАТЫ НЕОРГАНИЧЕСКИЕ, Н.У.К.	1481	5.1	O2	50	III	3
ПЕРМАНГАНАТЫ НЕОРГАНИЧЕСКИЕ, Н.У.К.	1482	5.1	O2	50	II	2
ПЕРМАНГАНАТЫ НЕОРГАНИЧЕСКИЕ, Н.У.К.	1482	5.1	O2	50	III	3
ПЕРОКСИДЫ НЕОРГАНИЧЕСКИЕ, Н.У.К.	1483	5.1	O2	50	II	2
ПЕРОКСИДЫ НЕОРГАНИЧЕСКИЕ, Н.У.К.	1483	5.1	O2	50	III	3
КАЛИЯ БРОМАТ	1484	5.1	O2	50	II	2
КАЛИЯ ХЛОРАТ	1485	5.1	O2	50	II	2
КАЛИЯ НИТРАТ	1486	5.1	O2	50	III	3
КАЛИЯ НИТРАТА И НАТРИЯ НИТРИТА СМЕСЬ	1487	5.1	O2	50	II	2
КАЛИЯ НИТРИТ	1488	5.1	O2	50	II	2
КАЛИЯ ПЕРХЛОРАТ	1489	5.1	O2	50	II	2
КАЛИЯ ПЕРМАНГАНАТ	1490	5.1	O2	50	II	2
КАЛИЯ ПЕРОКСИД	1491	5.1	O2		I	1
КАЛИЯ ПЕРСУЛЬФАТ	1492	5.1	O2	50	III	3
СЕРЕБРА НИТРАТ	1493	5.1	O2	50	II	2
НАТРИЯ БРОМАТ	1494	5.1	O2	50	II	2
НАТРИЯ ХЛОРАТ	1495	5.1	O2	50	II	2
НАТРИЯ ХЛОРИТ	1496	5.1	O2	50	II	2
НАТРИЯ НИТРАТ	1498	5.1	O2	50	III	3
НАТРИЯ НИТРАТА И КАЛИЯ НИТРАТА СМЕСЬ	1499	5.1	O2	50	III	3
НАТРИЯ НИТРИТ	1500	5.1	OT2	56	III	3
НАТРИЯ ПЕРХЛОРАТ	1502	5.1	O2	50	II	2
НАТРИЯ ПЕРМАНГАНАТ	1503	5.1	O2	50	II	2
НАТРИЯ ПЕРОКСИД	1504	5.1	O2		I	1
НАТРИЯ ПЕРСУЛЬФАТ	1505	5.1	O2	50	III	3
СТРОНЦИЯ ХЛОРАТ	1506	5.1	O2	50	II	2
СТРОНЦИЯ НИТРАТ	1507	5.1	O2	50	III	3
СТРОНЦИЯ ПЕРХЛОРАТ	1508	5.1	O2	50	II	2
СТРОНЦИЯ ПЕРОКСИД	1509	5.1	O2	50	II	2
ТЕТРАНИТРОМЕТАН	1510	6.1	TO1	665	I	1
КАРБАМИДА И ВОДОРОДА ПЕРОКСИДА КОМПЛЕКС	1511	5.1	OC2	58	III	3
ЦИНКА-АММОНИЯ НИТРИТ	1512	5.1	O2	50	II	2
ЦИНКА ХЛОРАТ	1513	5.1	O2	50	II	2
ЦИНКА НИТРАТ	1514	5.1	O2	50	II	2
ЦИНКА ПЕРМАНГАНАТ	1515	5.1	O2	50	II	2
ЦИНКА ПЕРОКСИД	1516	5.1	O2	50	II	2
ЦИРКОНИЯ ПИКРАМАТ УВЛАЖНЕННЫЙ с массовой долей воды не менее 20%	1517	4.1	D		I	1
АЦЕТОНЦИАНГИДРИН СТАБИЛИЗИРОВАННЫЙ	1541	6.1	T1	669	I	1
АЛКАЛОИДЫ ТВЕРДЫЕ, Н.У.К.	1544	6.1	T2	66	I	1
АЛКАЛОИДЫ ТВЕРДЫЕ, Н.У.К.,	1544	6.1	T2	60	II	2
АЛКАЛОИДЫ ТВЕРДЫЕ, Н.У.К.,	1544	6.1	T2	60	III	2
АЛКАЛОИДОВ СОЛИ ТВЕРДЫЕ, Н.У.К.	1544	6.1	T2	66	I	1
АЛКАЛОИДОВ СОЛИ ТВЕРДЫЕ, Н.У.К.	1544	6.1	T2	60	II	2
АЛКАЛОИДОВ СОЛИ ТВЕРДЫЕ, Н.У.К.	1544	6.1	T2	60	III	2
АЛЛИЛИЗОТИОЦИАНАТ СТАБИЛИЗИРОВАННЫЙ	1545	6.1	TF1	639	II	2
АММОНИЯ АРСЕНАТ	1546	6.1	T5	60	II	2
АНИЛИН	1547	6.1	T1	60	II	2
АНИЛИНА ГИДРОХЛОРИД	1548	6.1	T2	60	III	2
СУРЬМЫ СОЕДИНЕНИЕ НЕОРГАНИЧЕСКОЕ ТВЕРДОЕ, Н.У.К.	1549	6.1	T5	60	III	2
СУРЬМЫ ЛАКТАТ	1550	6.1	T5	60	III	2
СУРЬМЫ-КАЛИЯ ТАРТРАТ	1551	6.1	T5	60	III	2
КИСЛОТА МЫШЬЯКОВАЯ ЖИДКАЯ	1553	6.1	T4	66	I	1
КИСЛОТА МЫШЬЯКОВАЯ ТВЕРДАЯ	1554	6.1	T5	60	II	2
МЫШЬЯКА БРОМИД	1555	6.1	T5	60	II	2
МЫШЬЯКА СОЕДИНЕНИЕ ЖИДКОЕ, Н.У.К., неорганическое, включая: Арсенаты, н.у.к., Арсениты, н.у.к., и Мышьяка сульфиды, н.у.к.	1556	6.1	T4	66	I	1
МЫШЬЯКА СОЕДИНЕНИЕ ЖИДКОЕ, Н.У.К., неорганическое, включая: Арсенаты, н.у.к., Арсениты, н.у.к., и Мышьяка сульфиды, н.у.к.	1556	6.1	T4	60	II	2
МЫШЬЯКА СОЕДИНЕНИЕ ЖИДКОЕ, Н.У.К., неорганическое, включая: Арсенаты, н.у.к., Арсениты, н.у.к., и Мышьяка сульфиды, н.у.к.	1556	6.1	T4	60	III	2
МЫШЬЯКА СОЕДИНЕНИЕ ТВЕРДОЕ, Н.У.К., неорганическое, включая: Арсенаты, н.у.к., Арсениты, н.у.к.,и Мышьяка сульфиды, н.у.к.	1557	6.1	T5	66	I	1
МЫШЬЯКА СОЕДИНЕНИЕ ТВЕРДОЕ, Н.У.К., неорганическое, включая: Арсенаты, н.у.к., Арсениты, н.у.к.,и Мышьяка сульфиды, н.у.к.	1557	6.1	T5	60	II	2
МЫШЬЯКА СОЕДИНЕНИЕ ТВЕРДОЕ, Н.У.К., неорганическое, включая: Арсенаты, н.у.к., Арсениты, н.у.к.,и Мышьяка сульфиды, н.у.к.	1557	6.1	T5	60	III	2
МЫШЬЯК	1558	6.1	T5	60	II	2
МЫШЬЯКА ПЕНТАОКСИД	1559	6.1	T5	60	II	2
МЫШЬЯКА ТРИХЛОРИД	1560	6.1	T4	66	I	1
МЫШЬЯКА ТРИОКСИД	1561	6.1	T5	60	II	2
МЫШЬЯКОВАЯ ПЫЛЬ	1562	6.1	T5	60	II	2
БАРИЯ СОЕДИНЕНИЕ, Н.У.К.	1564	6.1	T5	60	II	2
БАРИЯ СОЕДИНЕНИЕ, Н.У.К.	1564	6.1	T5	60	III	2
БАРИЯ ЦИАНИД	1565	6.1	T5	66	I	1
БЕРИЛЛИЯ СОЕДИНЕНИЕ, Н.У.К.	1566	6.1	T5	60	II	2
